ID,SampleID,Section,Treatment,Temperature,ActualExperimentalTemp,Timepoint,Day,Replicate,dmdA_A1uL.16Scopies,dddPuL.16Scopies,dddP.dmdA_Ratio,16S_copies,DMSP_nmol.ml,DMSO_nmol.ml,Polysac_nmol.ml
33,Mucus_T32_T0_3,Mucus,Temperature_32,32,27,T0,1,3,0.263771001,0.082375769,0.312300324,87215.29757,1.55,0.25,200.8333333
34,Mucus_T32_T0_4,Mucus,Temperature_32,32,27,T0,1,4,0.098041828,0,0,277066.0868,12.46666667,0.9,236.6166667
35,Mucus_T32_T0_5,Mucus,Temperature_32,32,27,T0,1,5,0,0,0,349807.9983,11.38333333,0.833333333,243.0166667
36,Mucus_T32_T1_1,Mucus,Temperature_32,32,30,T1,4,1,0.152463894,0.011406154,0.074812165,142946.1678,4.708333333,0.966666667,217.0166667
37,Mucus_T32_T1_2,Mucus,Temperature_32,32,30,T1,4,2,0,0.003113414,0,176508.629,12.48333333,0.65,223.8
38,Mucus_T32_T1_3,Mucus,Temperature_32,32,30,T1,4,3,0.208819948,0,0,165995.5425,1.725,0.375,187.525
39,Mucus_T32_T1_4,Mucus,Temperature_32,32,30,T1,4,4,0.396328203,0,0,152205.3798,7.391666667,1.008333333,218.9416667
40,Mucus_T32_T1_5,Mucus,Temperature_32,32,30,T1,4,5,0.097899639,0.059033355,0.6029987,165837.0779,7.591666667,0.608333333,219.325
41,Mucus_T32_T2_1,Mucus,Temperature_32,32,32,T2,8,1,0,0,0,59612.3117,40.225,1.466666667,239.475
42,Mucus_T32_T2_2,Mucus,Temperature_32,32,32,T2,8,2,0.099823996,0.278922773,2.794145538,174016.4824,67.725,1.508333333,271.175
43,Mucus_T32_T2_3,Mucus,Temperature_32,32,32,T2,8,3,0,0,0,0,110.7833333,1.891666667,273.5666667
44,Mucus_T32_T2_4,Mucus,Temperature_32,32,32,T2,8,4,0.072949837,0.285881085,3.918872156,238838.749,54.75833333,0.641666667,257.3833333
45,Mucus_T32_T2_5,Mucus,Temperature_32,32,32,T2,8,5,0.062016224,0.159187381,2.566866712,323969.8641,82.65,1.691666667,300.5833333
46,Mucus_T32_T3_1,Mucus,Temperature_32,32,32,T3,11,1,0.671771044,0.193639257,0.288251866,164222.2402,29.40833333,2.908333333,306.2583333
47,Mucus_T32_T3_2,Mucus,Temperature_32,32,32,T3,11,2,0,0,0,151943.08,32.99166667,1.05,253.6166667
48,Mucus_T32_T3_3,Mucus,Temperature_32,32,32,T3,11,3,0.410357317,0,0,153801.3982,63.36666667,1.983333333,302.5583333
49,Mucus_T32_T3_4,Mucus,Temperature_32,32,32,T3,11,4,0.716353914,0.149624392,0.208869372,148097.8458,177.325,1.758333333,352.8583333
50,Mucus_T32_T3_5,Mucus,Temperature_32,32,32,T3,11,5,0,0.103012381,0,145387.943,112.6333333,1.141666667,348.4083333
